Calculation1,City,Count,County/State/ Territory,Gender,School,Pivot Field Values
ABRAHAM LINCOLN HIGH SCHOOL51520,Los Angeles,Enr,Los Angeles,Male,ABRAHAM LINCOLN HIGH SCHOOL,5
ABRAHAM LINCOLN HIGH SCHOOL51520,Los Angeles,Adm,Los Angeles,Male,ABRAHAM LINCOLN HIGH SCHOOL,7
ABRAHAM LINCOLN HIGH SCHOOL51520,Los Angeles,App,Los Angeles,Male,ABRAHAM LINCOLN HIGH SCHOOL,19
ABRAHAM LINCOLN HIGH SCHOOL51520,Los Angeles,Enr,Los Angeles,Female,ABRAHAM LINCOLN HIGH SCHOOL,15
ABRAHAM LINCOLN HIGH SCHOOL51520,Los Angeles,Adm,Los Angeles,Female,ABRAHAM LINCOLN HIGH SCHOOL,27
ABRAHAM LINCOLN HIGH SCHOOL51520,Los Angeles,App,Los Angeles,Female,ABRAHAM LINCOLN HIGH SCHOOL,43
ABRAHAM LINCOLN HIGH SCHOOL51520,Los Angeles,Enr,Los Angeles,All,ABRAHAM LINCOLN HIGH SCHOOL,20
ABRAHAM LINCOLN HIGH SCHOOL51520,Los Angeles,Adm,Los Angeles,All,ABRAHAM LINCOLN HIGH SCHOOL,34
ABRAHAM LINCOLN HIGH SCHOOL51520,Los Angeles,App,Los Angeles,All,ABRAHAM LINCOLN HIGH SCHOOL,62
ABRAHAM LINCOLN HIGH SCHOOL52910,San Francisco,Enr,San Francisco,Male,ABRAHAM LINCOLN HIGH SCHOOL,52
ABRAHAM LINCOLN HIGH SCHOOL52910,San Francisco,Adm,San Francisco,Male,ABRAHAM LINCOLN HIGH SCHOOL,76
ABRAHAM LINCOLN HIGH SCHOOL52910,San Francisco,App,San Francisco,Male,ABRAHAM LINCOLN HIGH SCHOOL,116
ABRAHAM LINCOLN HIGH SCHOOL52910,San Francisco,Enr,San Francisco,Female,ABRAHAM LINCOLN HIGH SCHOOL,49
ABRAHAM LINCOLN HIGH SCHOOL52910,San Francisco,Adm,San Francisco,Female,ABRAHAM LINCOLN HIGH SCHOOL,73
ABRAHAM LINCOLN HIGH SCHOOL52910,San Francisco,App,San Francisco,Female,ABRAHAM LINCOLN HIGH SCHOOL,131
ABRAHAM LINCOLN HIGH SCHOOL52910,San Francisco,Enr,San Francisco,All,ABRAHAM LINCOLN HIGH SCHOOL,103
ABRAHAM LINCOLN HIGH SCHOOL52910,San Francisco,Adm,San Francisco,All,ABRAHAM LINCOLN HIGH SCHOOL,151
ABRAHAM LINCOLN HIGH SCHOOL52910,San Francisco,App,San Francisco,All,ABRAHAM LINCOLN HIGH SCHOOL,250
ABRAHAM LINCOLN HIGH SCHOOL53075,San Jose,Enr,Santa Clara,Male,ABRAHAM LINCOLN HIGH SCHOOL,9
ABRAHAM LINCOLN HIGH SCHOOL53075,San Jose,Adm,Santa Clara,Male,ABRAHAM LINCOLN HIGH SCHOOL,22
ABRAHAM LINCOLN HIGH SCHOOL53075,San Jose,App,Santa Clara,Male,ABRAHAM LINCOLN HIGH SCHOOL,38
ABRAHAM LINCOLN HIGH SCHOOL53075,San Jose,Enr,Santa Clara,Female,ABRAHAM LINCOLN HIGH SCHOOL,17
ABRAHAM LINCOLN HIGH SCHOOL53075,San Jose,Adm,Santa Clara,Female,ABRAHAM LINCOLN HIGH SCHOOL,36
ABRAHAM LINCOLN HIGH SCHOOL53075,San Jose,App,Santa Clara,Female,ABRAHAM LINCOLN HIGH SCHOOL,62
ABRAHAM LINCOLN HIGH SCHOOL53075,San Jose,Enr,Santa Clara,All,ABRAHAM LINCOLN HIGH SCHOOL,26
ABRAHAM LINCOLN HIGH SCHOOL53075,San Jose,Adm,Santa Clara,All,ABRAHAM LINCOLN HIGH SCHOOL,58
