,County,Ethnicity,Gender,Campus,GPA,AvgScrRead,AvgScrMath,AvgScrWrit
0,San Bernardino,Domestic Unknown,Male,Davis,4.2,460,460,440
1,San Bernardino,Domestic Unknown,Male,Irvine,4.2,460,460,440
2,San Bernardino,Domestic Unknown,Male,Merced,3.4,460,460,440
3,San Bernardino,Domestic Unknown,Male,Riverside,3.8,460,460,440
4,San Bernardino,Domestic Unknown,Male,San Diego,4.2,460,460,440
5,San Bernardino,Domestic Unknown,Male,Santa Barbara,3.8,460,460,440
6,San Bernardino,Domestic Unknown,Male,Santa Cruz,3.6,460,460,440
7,San Bernardino,Domestic Unknown,Male,Universitywide,3.8,460,460,440
8,San Bernardino,Domestic Unknown,Female,Davis,4.2,460,460,440
9,San Bernardino,Domestic Unknown,Female,Irvine,4.2,460,460,440
10,San Bernardino,Domestic Unknown,Female,Merced,3.4,460,460,440
11,San Bernardino,Domestic Unknown,Female,Riverside,3.8,460,460,440
12,San Bernardino,Domestic Unknown,Female,San Diego,4.2,460,460,440
13,San Bernardino,Domestic Unknown,Female,Santa Barbara,3.8,460,460,440
14,San Bernardino,Domestic Unknown,Female,Santa Cruz,3.6,460,460,440
15,San Bernardino,Domestic Unknown,Female,Universitywide,3.8,460,460,440
16,San Bernardino,Domestic Unknown,All,Davis,4.2,460,460,440
17,San Bernardino,Domestic Unknown,All,Irvine,4.2,460,460,440
18,San Bernardino,Domestic Unknown,All,Merced,3.4,460,460,440
19,San Bernardino,Domestic Unknown,All,Riverside,3.8,460,460,440
20,San Bernardino,Domestic Unknown,All,San Diego,4.2,460,460,440
21,San Bernardino,Domestic Unknown,All,Santa Barbara,3.8,460,460,440
22,San Bernardino,Domestic Unknown,All,Santa Cruz,3.6,460,460,440
23,San Bernardino,Domestic Unknown,All,Universitywide,3.8,460,460,440
24,San Bernardino,Asian,Male,Davis,4.2,460,460,440
25,San Bernardino,Asian,Male,Irvine,4.2,460,460,440
26,San Bernardino,Asian,Male,Merced,3.4,460,460,440
27,San Bernardino,Asian,Male,Riverside,3.8,460,460,440
28,San Bernardino,Asian,Male,San Diego,4.2,460,460,440
29,San Bernardino,Asian,Male,Santa Barbara,3.8,460,460,440
30,San Bernardino,Asian,Male,Santa Cruz,3.6,460,460,440
31,San Bernardino,Asian,Male,Universitywide,3.8,460,460,440
32,San Bernardino,Asian,Female,Davis,4.2,460,460,440
33,San Bernardino,Asian,Female,Irvine,4.2,460,460,440
34,San Bernardino,Asian,Female,Merced,3.4,460,460,440
35,San Bernardino,Asian,Female,Riverside,3.8,460,460,440
36,San Bernardino,Asian,Female,San Diego,4.2,460,460,440
37,San Bernardino,Asian,Female,Santa Barbara,3.8,460,460,440
38,San Bernardino,Asian,Female,Santa Cruz,3.6,460,460,440
39,San Bernardino,Asian,Female,Universitywide,3.8,460,460,440
40,San Bernardino,Asian,All,Davis,4.2,460,460,440
41,San Bernardino,Asian,All,Irvine,4.2,460,460,440
42,San Bernardino,Asian,All,Merced,3.4,460,460,440
43,San Bernardino,Asian,All,Riverside,3.8,460,460,440
