Calculation1,Campus,City,Count,County/State/ Territory,Fall Term,School,Uad Uc Ethn 6 Cat,Pivot Field Values
EAST OAKLAND SCH OF THE ARTS53881,Universitywide,Oakland,Adm,Alameda,2012,EAST OAKLAND SCH OF THE ARTS,Hispanic/ Latino,3
EAST OAKLAND SCH OF THE ARTS53881,Universitywide,Oakland,App,Alameda,2012,EAST OAKLAND SCH OF THE ARTS,African American,6
EAST OAKLAND SCH OF THE ARTS53881,Universitywide,Oakland,Adm,Alameda,2012,EAST OAKLAND SCH OF THE ARTS,All,6
EAST OAKLAND SCH OF THE ARTS53881,Universitywide,Oakland,App,Alameda,2012,EAST OAKLAND SCH OF THE ARTS,All,12
EAST OAKLAND SCH OF THE ARTS53881,Universitywide,Oakland,Enr,Alameda,2011,EAST OAKLAND SCH OF THE ARTS,All,3
EAST OAKLAND SCH OF THE ARTS53881,Universitywide,Oakland,Adm,Alameda,2011,EAST OAKLAND SCH OF THE ARTS,All,3
EAST OAKLAND SCH OF THE ARTS53881,Universitywide,Oakland,App,Alameda,2011,EAST OAKLAND SCH OF THE ARTS,All,6
EAST OAKLAND SCH OF THE ARTS53881,Universitywide,Oakland,Adm,Alameda,2009,EAST OAKLAND SCH OF THE ARTS,All,3
EAST OAKLAND SCH OF THE ARTS53881,Universitywide,Oakland,Adm,Alameda,2008,EAST OAKLAND SCH OF THE ARTS,Hispanic/ Latino,3
EAST OAKLAND SCH OF THE ARTS53881,Universitywide,Oakland,App,Alameda,2008,EAST OAKLAND SCH OF THE ARTS,African American,5
EAST OAKLAND SCH OF THE ARTS53881,Universitywide,Oakland,Enr,Alameda,2008,EAST OAKLAND SCH OF THE ARTS,All,4
EAST OAKLAND SCH OF THE ARTS53881,Universitywide,Oakland,Adm,Alameda,2008,EAST OAKLAND SCH OF THE ARTS,All,7
EAST OAKLAND SCH OF THE ARTS53881,Universitywide,Oakland,App,Alameda,2008,EAST OAKLAND SCH OF THE ARTS,All,11
EAST OAKLAND SCH OF THE ARTS53881,Universitywide,Oakland,Adm,Alameda,2007,EAST OAKLAND SCH OF THE ARTS,All,5
EAST OAKLAND SCH OF THE ARTS53881,Universitywide,Oakland,App,Alameda,2007,EAST OAKLAND SCH OF THE ARTS,All,6
EAST OAKLAND SCH OF THE ARTS53881,Universitywide,Oakland,App,Alameda,2006,EAST OAKLAND SCH OF THE ARTS,Hispanic/ Latino,5
EAST OAKLAND SCH OF THE ARTS53881,Universitywide,Oakland,Adm,Alameda,2006,EAST OAKLAND SCH OF THE ARTS,All,4
