Calculation1,Campus,City,Count,County/State/ Territory,Fall Term,Gender,School,Pivot Field Values
EAST OAKLAND SCH OF THE ARTS53881,Universitywide,Oakland,Adm,Alameda,2012,Male,EAST OAKLAND SCH OF THE ARTS,4
EAST OAKLAND SCH OF THE ARTS53881,Universitywide,Oakland,App,Alameda,2012,Male,EAST OAKLAND SCH OF THE ARTS,6
EAST OAKLAND SCH OF THE ARTS53881,Universitywide,Oakland,App,Alameda,2012,Female,EAST OAKLAND SCH OF THE ARTS,6
EAST OAKLAND SCH OF THE ARTS53881,Universitywide,Oakland,Adm,Alameda,2012,All,EAST OAKLAND SCH OF THE ARTS,6
EAST OAKLAND SCH OF THE ARTS53881,Universitywide,Oakland,App,Alameda,2012,All,EAST OAKLAND SCH OF THE ARTS,12
EAST OAKLAND SCH OF THE ARTS53881,Universitywide,Oakland,Enr,Alameda,2011,All,EAST OAKLAND SCH OF THE ARTS,3
EAST OAKLAND SCH OF THE ARTS53881,Universitywide,Oakland,Adm,Alameda,2011,All,EAST OAKLAND SCH OF THE ARTS,3
EAST OAKLAND SCH OF THE ARTS53881,Universitywide,Oakland,App,Alameda,2011,All,EAST OAKLAND SCH OF THE ARTS,6
EAST OAKLAND SCH OF THE ARTS53881,Universitywide,Oakland,Adm,Alameda,2009,Female,EAST OAKLAND SCH OF THE ARTS,3
EAST OAKLAND SCH OF THE ARTS53881,Universitywide,Oakland,Adm,Alameda,2009,All,EAST OAKLAND SCH OF THE ARTS,3
EAST OAKLAND SCH OF THE ARTS53881,Universitywide,Oakland,Adm,Alameda,2008,Female,EAST OAKLAND SCH OF THE ARTS,5
EAST OAKLAND SCH OF THE ARTS53881,Universitywide,Oakland,App,Alameda,2008,Female,EAST OAKLAND SCH OF THE ARTS,8
EAST OAKLAND SCH OF THE ARTS53881,Universitywide,Oakland,Enr,Alameda,2008,All,EAST OAKLAND SCH OF THE ARTS,4
EAST OAKLAND SCH OF THE ARTS53881,Universitywide,Oakland,Adm,Alameda,2008,All,EAST OAKLAND SCH OF THE ARTS,7
EAST OAKLAND SCH OF THE ARTS53881,Universitywide,Oakland,App,Alameda,2008,All,EAST OAKLAND SCH OF THE ARTS,11
EAST OAKLAND SCH OF THE ARTS53881,Universitywide,Oakland,Adm,Alameda,2007,Female,EAST OAKLAND SCH OF THE ARTS,5
EAST OAKLAND SCH OF THE ARTS53881,Universitywide,Oakland,App,Alameda,2007,Female,EAST OAKLAND SCH OF THE ARTS,6
EAST OAKLAND SCH OF THE ARTS53881,Universitywide,Oakland,Adm,Alameda,2007,All,EAST OAKLAND SCH OF THE ARTS,5
EAST OAKLAND SCH OF THE ARTS53881,Universitywide,Oakland,App,Alameda,2007,All,EAST OAKLAND SCH OF THE ARTS,6
EAST OAKLAND SCH OF THE ARTS53881,Universitywide,Oakland,Adm,Alameda,2006,Female,EAST OAKLAND SCH OF THE ARTS,3
EAST OAKLAND SCH OF THE ARTS53881,Universitywide,Oakland,App,Alameda,2006,Female,EAST OAKLAND SCH OF THE ARTS,5
EAST OAKLAND SCH OF THE ARTS53881,Universitywide,Oakland,Adm,Alameda,2006,All,EAST OAKLAND SCH OF THE ARTS,4
EAST OAKLAND SCH OF THE ARTS53881,Universitywide,Oakland,App,Alameda,2006,All,EAST OAKLAND SCH OF THE ARTS,7
EAST OAKLAND SCH OF THE ARTS53881,Berkeley,Oakland,App,Alameda,2011,All,EAST OAKLAND SCH OF THE ARTS,5
EAST OAKLAND SCH OF THE ARTS53881,Berkeley,Oakland,App,Alameda,2008,All,EAST OAKLAND SCH OF THE ARTS,7
EAST OAKLAND SCH OF THE ARTS53881,Davis,Oakland,Adm,Alameda,2011,All,EAST OAKLAND SCH OF THE ARTS,3
EAST OAKLAND SCH OF THE ARTS53881,Davis,Oakland,App,Alameda,2008,Female,EAST OAKLAND SCH OF THE ARTS,5
EAST OAKLAND SCH OF THE ARTS53881,Davis,Oakland,Adm,Alameda,2008,All,EAST OAKLAND SCH OF THE ARTS,3
EAST OAKLAND SCH OF THE ARTS53881,Davis,Oakland,App,Alameda,2008,All,EAST OAKLAND SCH OF THE ARTS,6
EAST OAKLAND SCH OF THE ARTS53881,Davis,Oakland,App,Alameda,2006,Female,EAST OAKLAND SCH OF THE ARTS,5
EAST OAKLAND SCH OF THE ARTS53881,Davis,Oakland,App,Alameda,2006,All,EAST OAKLAND SCH OF THE ARTS,7
EAST OAKLAND SCH OF THE ARTS53881,Santa Cruz,Oakland,App,Alameda,2012,Male,EAST OAKLAND SCH OF THE ARTS,6
EAST OAKLAND SCH OF THE ARTS53881,Santa Cruz,Oakland,Adm,Alameda,2012,All,EAST OAKLAND SCH OF THE ARTS,3
EAST OAKLAND SCH OF THE ARTS53881,Santa Cruz,Oakland,App,Alameda,2012,All,EAST OAKLAND SCH OF THE ARTS,7
EAST OAKLAND SCH OF THE ARTS53881,Santa Cruz,Oakland,Adm,Alameda,2008,Female,EAST OAKLAND SCH OF THE ARTS,3
EAST OAKLAND SCH OF THE ARTS53881,Santa Cruz,Oakland,App,Alameda,2008,Female,EAST OAKLAND SCH OF THE ARTS,6
EAST OAKLAND SCH OF THE ARTS53881,Santa Cruz,Oakland,Adm,Alameda,2008,All,EAST OAKLAND SCH OF THE ARTS,4
EAST OAKLAND SCH OF THE ARTS53881,Santa Cruz,Oakland,App,Alameda,2008,All,EAST OAKLAND SCH OF THE ARTS,7
LPS OAKLAND R&D CAMPUS54704,Universitywide,Oakland,Enr,Alameda,2018,Male,LPS OAKLAND R&D CAMPUS,4
LPS OAKLAND R&D CAMPUS54704,Universitywide,Oakland,Adm,Alameda,2018,Male,LPS OAKLAND R&D CAMPUS,7
LPS OAKLAND R&D CAMPUS54704,Universitywide,Oakland,App,Alameda,2018,Male,LPS OAKLAND R&D CAMPUS,10
LPS OAKLAND R&D CAMPUS54704,Universitywide,Oakland,Enr,Alameda,2018,Female,LPS OAKLAND R&D CAMPUS,5
LPS OAKLAND R&D CAMPUS54704,Universitywide,Oakland,Adm,Alameda,2018,Female,LPS OAKLAND R&D CAMPUS,10
LPS OAKLAND R&D CAMPUS54704,Universitywide,Oakland,App,Alameda,2018,Female,LPS OAKLAND R&D CAMPUS,16
LPS OAKLAND R&D CAMPUS54704,Universitywide,Oakland,Enr,Alameda,2018,All,LPS OAKLAND R&D CAMPUS,9
LPS OAKLAND R&D CAMPUS54704,Universitywide,Oakland,Adm,Alameda,2018,All,LPS OAKLAND R&D CAMPUS,17
LPS OAKLAND R&D CAMPUS54704,Universitywide,Oakland,App,Alameda,2018,All,LPS OAKLAND R&D CAMPUS,26
LPS OAKLAND R&D CAMPUS54704,Universitywide,Oakland,Enr,Alameda,2017,Male,LPS OAKLAND R&D CAMPUS,4
LPS OAKLAND R&D CAMPUS54704,Universitywide,Oakland,Adm,Alameda,2017,Male,LPS OAKLAND R&D CAMPUS,5
LPS OAKLAND R&D CAMPUS54704,Universitywide,Oakland,App,Alameda,2017,Male,LPS OAKLAND R&D CAMPUS,6
