Calculation1,City,County/State/Country,Measure Names,School,Measure Values
21ST CENTURY EXPERIMENTAL SCH694223,"n/a ","CHINA, PEOPLES REPUBLIC",Enrl GPA,21ST CENTURY EXPERIMENTAL SCH,7.906666667
21ST CENTURY EXPERIMENTAL SCH694223,"n/a ","CHINA, PEOPLES REPUBLIC",Adm GPA,21ST CENTURY EXPERIMENTAL SCH,7.77625
21ST CENTURY EXPERIMENTAL SCH694223,"n/a ","CHINA, PEOPLES REPUBLIC",App GPA,21ST CENTURY EXPERIMENTAL SCH,11.248324324
A & M CONSOLIDATED HIGH SCHOOL441400,College Station,Texas,Enrl GPA,A & M CONSOLIDATED HIGH SCHOOL,
A & M CONSOLIDATED HIGH SCHOOL441400,College Station,Texas,Adm GPA,A & M CONSOLIDATED HIGH SCHOOL,37.181801587
A & M CONSOLIDATED HIGH SCHOOL441400,College Station,Texas,App GPA,A & M CONSOLIDATED HIGH SCHOOL,61.417029582
A B MILLER HIGH SCHOOL050944,Fontana,San Bernardino,Enrl GPA,A B MILLER HIGH SCHOOL,89.436797659
A B MILLER HIGH SCHOOL050944,Fontana,San Bernardino,Adm GPA,A B MILLER HIGH SCHOOL,88.861038705
A B MILLER HIGH SCHOOL050944,Fontana,San Bernardino,App GPA,A B MILLER HIGH SCHOOL,85.547405429
A C DAVIS SENIOR HIGH SCHOOL481601,Yakima,Washington,Enrl GPA,A C DAVIS SENIOR HIGH SCHOOL,
A C DAVIS SENIOR HIGH SCHOOL481601,Yakima,Washington,Adm GPA,A C DAVIS SENIOR HIGH SCHOOL,
A C DAVIS SENIOR HIGH SCHOOL481601,Yakima,Washington,App GPA,A C DAVIS SENIOR HIGH SCHOOL,7.817333333
A J DIMOND HIGH SCHOOL020003,Anchorage,Alaska,Enrl GPA,A J DIMOND HIGH SCHOOL,
A J DIMOND HIGH SCHOOL020003,Anchorage,Alaska,Adm GPA,A J DIMOND HIGH SCHOOL,32.263730159
A J DIMOND HIGH SCHOOL020003,Anchorage,Alaska,App GPA,A J DIMOND HIGH SCHOOL,66.493352092
A N MCCALLUM HIGH SCHOOL440300,Austin,Texas,Enrl GPA,A N MCCALLUM HIGH SCHOOL,
A N MCCALLUM HIGH SCHOOL440300,Austin,Texas,Adm GPA,A N MCCALLUM HIGH SCHOOL,23.618
A N MCCALLUM HIGH SCHOOL440300,Austin,Texas,App GPA,A N MCCALLUM HIGH SCHOOL,43.324356421
AAEC SOUTH MOUNTAIN COLG HS030363,Mesa,Arizona,Enrl GPA,AAEC SOUTH MOUNTAIN COLG HS,
AAEC SOUTH MOUNTAIN COLG HS030363,Mesa,Arizona,Adm GPA,AAEC SOUTH MOUNTAIN COLG HS,
