cds,rtype,sname,dname,cname,enroll12,NumTstTakr,AvgScrRead,AvgScrMath,AvgScrWrit,NumGE1500,PctGE1500,year
00000000000000,X,,,,492835,214262,484,494,477,89840,41.93,1516
01000000000000,C,,,Alameda,16662,8611,517,534,515,4696,54.53,1516
01100170000000,D,,Alameda County Office of Education,Alameda,263,95,395,378,388,6,6.32,1516
01100170112607,S,Envision Academy for Arts & Technology,Alameda County Office of Education,Alameda,88,92,391,376,386,5,5.43,1516
01611190000000,D,,Alameda Unified,Alameda,858,472,527,543,514,301,63.77,1516
01611190106401,S,Alameda Science and Technology Institute,Alameda Unified,Alameda,37,35,572,612,530,30,85.71,1516
01611190119222,S,Nea Community Learning Center,Alameda Unified,Alameda,25,14,*,*,*,*,*,1516
01611190130229,S,Alameda High,Alameda Unified,Alameda,381,255,539,562,533,180,70.59,1516
01611190130609,S,Alameda Community Learning Center,Alameda Unified,Alameda,52,46,538,539,516,30,65.22,1516
01611190130625,S,Alternatives in Action,Alameda Unified,Alameda,31,17,366,365,359,0,0.00,1516
01611190132142,S,Encinal Junior/Senior High,Alameda Unified,Alameda,243,0,NA,NA,NA,NA,NA,1516
01611270000000,D,,Albany City Unified,Alameda,300,179,585,607,575,148,82.68,1516
01611270130450,S,Albany High,Albany City Unified,Alameda,285,179,585,607,575,148,82.68,1516
01611430000000,D,,Berkeley Unified,Alameda,922,542,561,559,553,357,65.87,1516
01611430122697,S,REALM Charter High,Berkeley Unified,Alameda,77,38,453,429,425,8,21.05,1516
01611430131177,S,Berkeley High,Berkeley Unified,Alameda,798,504,569,568,563,349,69.25,1516
01611500000000,D,,Castro Valley Unified,Alameda,789,411,535,558,531,264,64.23,1516
01611500132225,S,Castro Valley High,Castro Valley Unified,Alameda,702,410,534,558,531,263,64.15,1516
01611500135533,S,Redwood Continuation High,Castro Valley Unified,Alameda,82,1,*,*,*,*,*,1516
01611680000000,D,,Emery Unified,Alameda,50,26,444,451,424,8,30.77,1516
01611680132746,S,Emery Secondary,Emery Unified,Alameda,50,26,444,451,424,8,30.77,1516
01611760000000,D,,Fremont Unified,Alameda,2548,1483,587,627,595,1151,77.61,1516
01611760130062,S,American High,Fremont Unified,Alameda,444,298,576,610,576,229,76.85,1516
01611760130435,S,Vista Alternative,Fremont Unified,Alameda,17,0,NA,NA,NA,NA,NA,1516
01611760130534,S,Circle of Independent Learning,Fremont Unified,Alameda,40,3,*,*,*,*,*,1516
01611760134270,S,Irvington High,Fremont Unified,Alameda,553,351,582,641,601,288,82.05,1516
01611760134452,S,John F. Kennedy High,Fremont Unified,Alameda,369,171,484,492,473,67,39.18,1516
01611760135244,S,Mission San Jose High,Fremont Unified,Alameda,545,457,656,706,677,435,95.19,1516
01611760138693,S,Washington High,Fremont Unified,Alameda,425,203,540,564,531,130,64.04,1516
01611920000000,D,,Hayward Unified,Alameda,1490,617,440,448,437,143,23.18,1516
01611920108670,S,Leadership Public Schools - Hayward,Hayward Unified,Alameda,113,105,444,467,446,31,29.52,1516
01611920113902,S,Impact Academy of Arts & Technology,Hayward Unified,Alameda,108,103,437,437,430,18,17.48,1516
01611920127944,S,Silver Oak High Public Montessori Charter,Hayward Unified,Alameda,15,0,NA,NA,NA,NA,NA,1516
01611920133629,S,Hayward High,Hayward Unified,Alameda,342,125,442,441,434,28,22.40,1516
01611920135319,S,Mt. Eden High,Hayward Unified,Alameda,430,200,442,454,441,48,24.00,1516
01611920138339,S,Tennyson High,Hayward Unified,Alameda,307,84,433,432,430,18,21.43,1516
01612000000000,D,,Livermore Valley Joint Unified,Alameda,1076,513,544,551,540,344,67.06,1516
01612000120931,S,Livermore Valley Charter Preparatory High,Livermore Valley Joint Unified,Alameda,93,68,522,501,511,33,48.53,1516
01612000130393,S,Vineyard Alternative,Livermore Valley Joint Unified,Alameda,28,2,*,*,*,*,*,1516
01612000133397,S,Granada High,Livermore Valley Joint Unified,Alameda,473,239,545,561,544,163,68.20,1516
01612000134536,S,Livermore High,Livermore Valley Joint Unified,Alameda,405,204,551,555,545,147,72.06,1516
01612340000000,D,,Newark Unified,Alameda,517,193,486,492,476,81,41.97,1516
01612340130054,S,Newark Memorial High,Newark Unified,Alameda,444,193,486,492,476,81,41.97,1516
01612340130484,S,Crossroads High (Alternative),Newark Unified,Alameda,23,0,NA,NA,NA,NA,NA,1516
01612420000000,D,,New Haven Unified,Alameda,1132,438,495,518,488,207,47.26,1516
01612420126763,S,Decoto School for Independent Study,New Haven Unified,Alameda,84,0,NA,NA,NA,NA,NA,1516
01612420134668,S,James Logan High,New Haven Unified,Alameda,920,438,495,518,488,207,47.26,1516
01612590000000,D,,Oakland Unified,Alameda,3020,1598,436,443,436,402,25.16,1516
01612590100065,S,Oakland Unity High,Oakland Unified,Alameda,66,51,386,423,407,6,11.76,1516
01612590100701,S,MetWest High,Oakland Unified,Alameda,41,36,399,388,386,4,11.11,1516
01612590106906,S,Bay Area Technology,Oakland Unified,Alameda,23,21,373,397,384,1,4.76,1516
01612590108944,S,Lighthouse Community Charter High,Oakland Unified,Alameda,59,62,430,463,433,11,17.74,1516
01612590110189,S,McClymonds High,Oakland Unified,Alameda,57,37,380,359,360,2,5.41,1516
01612590111856,S,American Indian Public High,Oakland Unified,Alameda,29,32,531,589,534,20,62.50,1516
01612590112797,S,Coliseum College Prep Academy,Oakland Unified,Alameda,61,46,380,407,397,2,4.35,1516
01612590114868,S,Oakland Charter High,Oakland Unified,Alameda,66,64,474,551,488,35,54.69,1516
01612590115238,S,ARISE High,Oakland Unified,Alameda,53,47,378,379,394,2,4.26,1516
01612590115386,S,Civicorps Corpsmember Academy,Oakland Unified,Alameda,78,0,NA,NA,NA,NA,NA,1516
01612590115667,S,Oakland International High,Oakland Unified,Alameda,82,29,310,329,328,0,0.00,1516
01612590118224,S,Aspire Golden State College Preparatory Academy,Oakland Unified,Alameda,65,67,381,370,368,4,5.97,1516
01612590119859,S,Gateway to College at Laney College,Oakland Unified,Alameda,62,0,NA,NA,NA,NA,NA,1516
01612590125161,S,Castlemont High,Oakland Unified,Alameda,124,69,369,337,349,2,2.90,1516
01612590125716,S,Fremont High,Oakland Unified,Alameda,134,68,366,351,363,1,1.47,1516
01612590126748,S,LPS Oakland R & D Campus,Oakland Unified,Alameda,81,75,362,371,381,5,6.67,1516
01612590130179,S,Street Academy (Alternative),Oakland Unified,Alameda,24,10,*,*,*,*,*,1516
01612590130575,S,LIFE Academy,Oakland Unified,Alameda,73,48,391,406,403,3,6.25,1516
01612590130617,S,"Oakland Military Institute, College Preparatory Ac",Oakland Unified,Alameda,68,59,417,441,420,13,22.03,1516
01612590130666,S,Aspire Lionel Wilson College Preparatory Academy,Oakland Unified,Alameda,137,62,412,428,432,9,14.52,1516
01612590135905,S,Oakland High,Oakland Unified,Alameda,322,165,421,432,412,22,13.33,1516
01612590136051,S,Oakland Technical High,Oakland Unified,Alameda,469,325,525,527,522,179,55.08,1516
01612590137943,S,Skyline High,Oakland Unified,Alameda,349,150,432,443,431,32,21.33,1516
01612593030772,S,Oakland School for the Arts,Oakland Unified,Alameda,86,70,568,513,543,49,70.00,1516
01612596114011,S,"Independent Study, Sojourner Truth",Oakland Unified,Alameda,71,5,*,*,*,*,*,1516
01612750000000,D,,Piedmont City Unified,Alameda,208,121,633,635,642,111,91.74,1516
01612750130286,S,Millennium High Alternative,Piedmont City Unified,Alameda,24,10,*,*,*,*,*,1516
01612750136515,S,Piedmont High,Piedmont City Unified,Alameda,178,111,641,646,652,104,93.69,1516
01612910000000,D,,San Leandro Unified,Alameda,699,310,460,454,459,91,29.35,1516
01612910134528,S,Lincoln High (Continuation),San Leandro Unified,Alameda,80,1,*,*,*,*,*,1516
01612910137588,S,San Leandro High,San Leandro Unified,Alameda,619,309,461,455,460,91,29.45,1516
01613090000000,D,,San Lorenzo Unified,Alameda,975,475,468,479,459,171,36.00,1516
01613090111799,S,East Bay Arts High,San Lorenzo Unified,Alameda,24,16,416,398,401,3,18.75,1516
01613090114421,S,KIPP King Collegiate High,San Lorenzo Unified,Alameda,113,107,478,471,469,36,33.64,1516
01613090130849,S,Arroyo High,San Lorenzo Unified,Alameda,445,225,485,507,477,104,46.22,1516
01613090137810,S,San Lorenzo High,San Lorenzo Unified,Alameda,300,127,436,448,424,28,22.05,1516
01750930000000,D,,Dublin Unified,Alameda,523,313,545,573,541,216,69.01,1516
01750930132704,S,Dublin High,Dublin Unified,Alameda,489,313,545,573,541,216,69.01,1516
01751010000000,D,,Pleasanton Unified,Alameda,1203,825,593,620,592,695,84.24,1516
01751010130096,S,Foothill High,Pleasanton Unified,Alameda,487,349,574,593,570,269,77.08,1516
01751010130583,S,Amador Valley High,Pleasanton Unified,Alameda,638,476,607,639,608,426,89.50,1516
03000000000000,C,,,Amador,326,88,534,525,510,58,65.91,1516
03100330000000,D,,Amador County Office of Education,Amador,18,0,NA,NA,NA,NA,NA,1516
03739810000000,D,,Amador County Unified,Amador,308,88,534,525,510,58,65.91,1516
03739810330050,S,North Star Independent Study,Amador County Unified,Amador,28,0,NA,NA,NA,NA,NA,1516
03739810330753,S,Amador High,Amador County Unified,Amador,140,51,535,529,519,35,68.63,1516
03739810334755,S,Argonaut High,Amador County Unified,Amador,112,37,532,518,498,23,62.16,1516
04000000000000,C,,,Butte,2445,694,508,522,490,375,54.03,1516
04100410000000,D,,Butte County Office of Education,Butte,119,20,532,500,495,11,55.00,1516
04100410114991,S,CORE Butte Charter,Butte County Office of Education,Butte,73,20,532,500,495,11,55.00,1516
04100410430090,S,Learning Community Charter,Butte County Office of Education,Butte,34,0,NA,NA,NA,NA,NA,1516
04614080000000,D,,Biggs Unified,Butte,42,16,453,464,422,4,25.00,1516
04614080430827,S,Biggs High,Biggs Unified,Butte,38,16,453,464,422,4,25.00,1516
04614240000000,D,,Chico Unified,Butte,1094,402,529,542,511,256,63.68,1516
04614240120394,S,Inspire School of Arts and Sciences,Chico Unified,Butte,95,44,569,535,552,32,72.73,1516
04614240430199,S,Oakdale,Chico Unified,Butte,58,0,NA,NA,NA,NA,NA,1516
04614240431676,S,Chico High,Chico Unified,Butte,402,189,527,548,507,121,64.02,1516
04614240437558,S,Pleasant Valley High,Chico Unified,Butte,445,169,521,538,504,103,60.95,1516
04614320000000,D,,Durham Unified,Butte,68,33,507,505,490,17,51.52,1516
04614320433201,S,Durham High,Durham Unified,Butte,68,33,507,505,490,17,51.52,1516
04614570000000,D,,Golden Feather Union Elementary,Butte,18,0,NA,NA,NA,NA,NA,1516
04614570125252,S,Pivot Charter School North Valley,Golden Feather Union Elementary,Butte,18,0,NA,NA,NA,NA,NA,1516
04615150000000,D,,Oroville Union High,Butte,543,114,451,468,438,33,28.95,1516
04615150434803,S,Las Plumas High,Oroville Union High,Butte,222,43,485,482,460,15,34.88,1516
04615150435602,S,Oroville High,Oroville Union High,Butte,239,71,430,460,425,18,25.35,1516
04615310000000,D,,Paradise Unified,Butte,369,60,520,528,491,36,60.00,1516
04615310121715,S,Paradise eLearning Charter Academy,Paradise Unified,Butte,17,1,*,*,*,*,*,1516
04615310437350,S,Paradise Senior High,Paradise Unified,Butte,260,59,523,530,493,36,61.02,1516
04615316112585,S,HomeTech Charter,Paradise Unified,Butte,33,0,NA,NA,NA,NA,NA,1516
04755070000000,D,,Gridley Unified,Butte,180,49,469,508,461,18,36.73,1516
04755070433953,S,Gridley High,Gridley Unified,Butte,160,49,469,508,461,18,36.73,1516
05000000000000,C,,,Calaveras,498,130,512,515,499,70,53.85,1516
05100580000000,D,,Calaveras County Office of Education,Calaveras,66,6,*,*,*,*,*,1516
05100580530154,S,Mountain Oaks,Calaveras County Office of Education,Calaveras,60,6,*,*,*,*,*,1516
05615560000000,D,,Bret Harte Union High,Calaveras,174,52,522,529,521,29,55.77,1516
05615560532507,S,Bret Harte Union High,Bret Harte Union High,Calaveras,152,52,522,529,521,29,55.77,1516
05615640000000,D,,Calaveras Unified,Calaveras,258,72,495,503,478,36,50.00,1516
05615640531509,S,Calaveras High,Calaveras Unified,Calaveras,236,72,495,503,478,36,50.00,1516
06000000000000,C,,,Colusa,356,109,454,461,451,29,26.61,1516
06615980000000,D,,Colusa Unified,Colusa,110,32,454,461,438,8,25.00,1516
06615980630046,S,Colusa Alternative Home,Colusa Unified,Colusa,20,0,NA,NA,NA,NA,NA,1516
06615980631259,S,Colusa High,Colusa Unified,Colusa,80,32,454,461,438,8,25.00,1516
06616060000000,D,,Maxwell Unified,Colusa,30,13,*,*,*,*,*,1516
