,Fall Term,School,Ethnicity,Gender,NumStudentsAccepted,TotalStudentsAcceptedInTerm,ProbabilityOfAcceptance
0,2012,EAST OAKLAND SCH OF THE ARTS,Hispanic/ Latino,Male,7,1073,0.652376514445
1,2012,EAST OAKLAND SCH OF THE ARTS,Hispanic/ Latino,All,9,1073,0.838769804287
2,2012,EAST OAKLAND SCH OF THE ARTS,Hispanic/ Latino,All,6,1073,0.559179869525
3,2012,EAST OAKLAND SCH OF THE ARTS,All,Male,10,1073,0.931966449208
4,2012,EAST OAKLAND SCH OF THE ARTS,All,All,12,1073,1.11835973905
5,2012,EAST OAKLAND SCH OF THE ARTS,All,All,9,1073,0.838769804287
6,2012,EAST OAKLAND SCH OF THE ARTS,All,Male,7,1073,0.652376514445
7,2012,EAST OAKLAND SCH OF THE ARTS,All,All,6,1073,0.559179869525
8,2012,OAKLAND CHARTER HIGH SCHOOL,Asian,Male,13,1073,1.21155638397
9,2012,OAKLAND CHARTER HIGH SCHOOL,Asian,Female,9,1073,0.838769804287
10,2012,OAKLAND CHARTER HIGH SCHOOL,Asian,All,17,1073,1.58434296365
11,2012,OAKLAND CHARTER HIGH SCHOOL,Asian,Male,8,1073,0.745573159366
12,2012,OAKLAND CHARTER HIGH SCHOOL,Asian,All,9,1073,0.838769804287
13,2012,OAKLAND CHARTER HIGH SCHOOL,Asian,All,8,1073,0.745573159366
14,2012,OAKLAND CHARTER HIGH SCHOOL,Asian,Male,10,1073,0.931966449208
15,2012,OAKLAND CHARTER HIGH SCHOOL,Asian,All,11,1073,1.02516309413
16,2012,OAKLAND CHARTER HIGH SCHOOL,Hispanic/ Latino,Male,14,1073,1.30475302889
17,2012,OAKLAND CHARTER HIGH SCHOOL,Hispanic/ Latino,Female,10,1073,0.931966449208
18,2012,OAKLAND CHARTER HIGH SCHOOL,Hispanic/ Latino,All,18,1073,1.67753960857
19,2012,OAKLAND CHARTER HIGH SCHOOL,Hispanic/ Latino,Male,9,1073,0.838769804287
20,2012,OAKLAND CHARTER HIGH SCHOOL,Hispanic/ Latino,All,10,1073,0.931966449208
21,2012,OAKLAND CHARTER HIGH SCHOOL,Hispanic/ Latino,All,9,1073,0.838769804287
22,2012,OAKLAND CHARTER HIGH SCHOOL,Hispanic/ Latino,Male,11,1073,1.02516309413
23,2012,OAKLAND CHARTER HIGH SCHOOL,Hispanic/ Latino,All,12,1073,1.11835973905
24,2012,OAKLAND CHARTER HIGH SCHOOL,All,Male,20,1073,1.86393289842
25,2012,OAKLAND CHARTER HIGH SCHOOL,All,Female,16,1073,1.49114631873
26,2012,OAKLAND CHARTER HIGH SCHOOL,All,All,24,1073,2.2367194781
27,2012,OAKLAND CHARTER HIGH SCHOOL,All,Male,15,1073,1.39794967381
28,2012,OAKLAND CHARTER HIGH SCHOOL,All,All,16,1073,1.49114631873
29,2012,OAKLAND CHARTER HIGH SCHOOL,All,All,15,1073,1.39794967381
30,2012,OAKLAND CHARTER HIGH SCHOOL,All,Male,17,1073,1.58434296365
31,2012,OAKLAND CHARTER HIGH SCHOOL,All,All,18,1073,1.67753960857
32,2012,OAKLAND CHARTER HIGH SCHOOL,Asian,Male,11,1073,1.02516309413
33,2012,OAKLAND CHARTER HIGH SCHOOL,Asian,Female,7,1073,0.652376514445
34,2012,OAKLAND CHARTER HIGH SCHOOL,Asian,All,15,1073,1.39794967381
35,2012,OAKLAND CHARTER HIGH SCHOOL,Asian,Male,6,1073,0.559179869525
36,2012,OAKLAND CHARTER HIGH SCHOOL,Asian,All,7,1073,0.652376514445
37,2012,OAKLAND CHARTER HIGH SCHOOL,Asian,All,6,1073,0.559179869525
38,2012,OAKLAND CHARTER HIGH SCHOOL,All,Male,12,1073,1.11835973905
39,2012,OAKLAND CHARTER HIGH SCHOOL,All,Female,8,1073,0.745573159366
40,2012,OAKLAND CHARTER HIGH SCHOOL,All,Male,7,1073,0.652376514445
41,2012,OAKLAND CHARTER HIGH SCHOOL,All,All,8,1073,0.745573159366
42,2012,OAKLAND CHARTER HIGH SCHOOL,All,All,7,1073,0.652376514445
43,2012,OAKLAND CHARTER HIGH SCHOOL,All,Male,9,1073,0.838769804287
44,2012,OAKLAND CHARTER HIGH SCHOOL,All,All,10,1073,0.931966449208
45,2012,OAKLAND CHARTER HIGH SCHOOL,All,Male,11,1073,1.02516309413
