u_id,d_id,d_v,per,admit,total
1,1,4,0.25,"11,857","47,070"
1,1,3.7,0.04,676,"18,310"
1,1,3.3,0.01,116,"12,006"
1,1,3,0.01,29,"3,604"
1,1,0,0.01,14,"1,947"
1,2,31,0.24,"4,771","19,759"
1,2,26,0.12,"1,072","8,586"
1,2,21,0.13,593,"4,692"
1,2,16,0.07,147,"2,121"
1,2,0,0.03,11,332
1,3,31,0.29,"3,512","11,981"
1,3,26,0.16,"2,203","14,186"
1,3,21,0.11,697,"6,270"
1,3,16,0.06,158,"2,525"
1,3,0,0.03,14,478
1,4,700,0.25,"5,838","23,604"
1,4,600,0.11,"3,124","28,659"
1,4,500,0.07,798,"11,466"
1,4,400,0.03,75,"2,864"
1,4,0,0.00,1,203
1,5,700,0.18,"6,850","37,110"
1,5,600,0.12,"1,957","15,946"
1,5,500,0.09,939,"10,603"
1,5,400,0.03,86,"2,731"
1,5,0,0.01,4,406
1,6,20,0.28,"2,572","9,200"
1,6,15,0.15,"6,299","42,607"
1,6,10,0.07,947,"14,275"
1,6,0,0.03,18,714
1,7,50,0.17,"8,238","47,878"
1,7,40,0.13,"3,581","28,644"
1,7,30,0.08,190,"2,419"
1,7,0,0.06,20,334
1,8,15,0.21,"10,297","49,269"
1,8,10,0.07,"1,089","14,577"
1,8,5,0.04,285,"7,111"
1,8,0,0.04,144,"3,797"
2,1,4,0.75,"21,788","29,067"
2,1,3.7,0.31,"5,591","18,306"
2,1,3.3,0.10,"1,559","16,342"
2,1,3,0.03,175,"6,083"
2,1,0,0.02,54,"3,000"
2,2,31,0.61,"5,974","9,727"
2,2,26,0.44,"3,743","8,515"
2,2,21,0.35,"2,114","6,093"
2,2,16,0.26,843,"3,289"
2,2,0,0.11,70,631
2,3,31,0.66,"3,535","5,354"
2,3,26,0.50,"5,020","9,991"
2,3,21,0.38,"3,044","7,982"
2,3,16,0.25,"1,025","4,048"
2,3,0,0.13,108,862
2,4,700,0.64,"7,411","11,581"
2,4,600,0.47,"12,216","26,259"
2,4,500,0.29,"4,937","17,117"
2,4,400,0.15,751,"4,986"
2,4,0,0.08,30,386
2,5,700,0.57,"14,191","24,760"
2,5,600,0.39,"6,320","16,289"
2,5,500,0.28,"4,018","14,203"
2,5,400,0.17,765,"4,425"
2,5,0,0.08,51,652
2,6,20,0.64,"3,272","5,141"
2,6,15,0.47,"16,836","35,914"
2,6,10,0.28,"5,047","18,055"
2,6,0,0.16,190,"1,219"
2,7,50,0.48,"17,530","36,280"
2,7,40,0.34,"10,727","31,943"
2,7,30,0.25,667,"2,686"
2,7,0,0.21,41,192
2,8,15,0.55,"17,565","31,787"
2,8,10,0.35,"6,201","17,685"
2,8,5,0.20,"2,110","10,403"
2,8,0,0.15,878,"5,798"
3,1,4,0.60,"19,602","32,590"
3,1,3.7,0.20,"4,497","22,379"
3,1,3.3,0.04,869,"21,562"
3,1,3,0.01,73,"8,617"
3,1,0,0.01,31,"4,333"
3,2,31,0.52,"4,917","9,449"
3,2,26,0.34,"3,101","9,151"
3,2,21,0.25,"1,962","7,854"
3,2,16,0.11,530,"4,799"
3,2,0,0.02,22,940
3,3,31,0.56,"2,823","5,071"
3,3,26,0.39,"4,006","10,345"
3,3,21,0.29,"2,815","9,813"
3,3,16,0.15,842,"5,686"
3,3,0,0.03,37,"1,258"
3,4,700,0.55,"6,645","12,166"
3,4,600,0.34,"10,742","31,557"
3,4,500,0.18,"4,339","24,046"
3,4,400,0.06,446,"7,579"
3,4,0,0.01,5,527
3,5,700,0.46,"12,796","27,714"
3,5,600,0.28,"5,693","20,007"
3,5,500,0.16,"3,299","20,264"
3,5,400,0.05,373,"6,897"
3,5,0,0.02,16,993
3,6,20,0.49,"2,917","5,904"
3,6,15,0.33,"14,510","44,245"
3,6,10,0.19,"4,570","24,055"
3,6,0,0.11,180,"1,671"
3,7,50,0.36,"14,762","40,774"
3,7,40,0.23,"9,715","42,596"
3,7,30,0.13,505,"3,853"
3,7,0,0.21,43,202
3,8,15,0.41,"15,629","38,235"
3,8,10,0.21,"4,526","21,596"
3,8,5,0.14,"1,884","13,493"
3,8,0,0.11,829,"7,695"
4,1,4,0.26,"13,549","53,083"
4,1,3.7,0.04,920,"25,128"
4,1,3.3,0.01,267,"18,527"
4,1,3,0.01,49,"6,259"
4,1,0,0.01,28,"3,341"
